Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_13,2:GPU,Yes,1934.6,95.7,80.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_13,2:GPU,Yes,1934.6,64.0,60.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_13,2:GPU,Yes,1934.6,92.7,72.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_13,2:GPU,Yes,1934.6,69.2,56.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_13,2:GPU,Yes,1934.6,50.0,45.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_13,2:GPU,Yes,1934.6,56.5,43.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_13,2:GPU,Yes,1934.6,77.0,44.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_13,2:GPU,Yes,1934.6,55.0,39.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_5,1:GPU,Yes,1345.3,97.0,82.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_5,1:GPU,Yes,1345.3,95.0,85.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_5,1:GPU,Yes,1345.3,97.0,85.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_5,1:GPU,Yes,1345.3,84.7,76.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_5,1:GPU,Yes,1345.3,56.5,55.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_5,1:GPU,Yes,1345.3,77.5,65.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_5,1:GPU,Yes,1345.3,81.0,61.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_5,1:GPU,Yes,1345.3,57.8,43.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_5,1:GPU,Yes,1345.3,58.0,42.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_5,1:GPU,Yes,1345.3,64.0,42.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_5,1:GPU,Yes,1345.3,60.0,34.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_37,5:GPU,Yes,3702.5,98.0,84.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_37,5:GPU,Yes,3702.5,93.5,78.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_37,5:GPU,Yes,3702.5,73.0,70.7
